Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
112,29,3,92,0,Some Random Commen with Id 112
113,30,3,36,5,Some Random Commen with Id 113
114,30,3,163,2,Some Random Commen with Id 114
115,30,3,69,7,Some Random Commen with Id 115
116,30,3,99,2,Some Random Commen with Id 116
117,30,3,82,4,Some Random Commen with Id 117
118,30,3,119,8,Some Random Commen with Id 118
119,32,4,194,7,Some Random Commen with Id 119
120,32,4,96,7,Some Random Commen with Id 120
121,33,1,193,2,Some Random Commen with Id 121
122,34,4,175,5,Some Random Commen with Id 122
123,34,4,8,9,Some Random Commen with Id 123
124,34,4,164,6,Some Random Commen with Id 124
125,34,4,86,9,Some Random Commen with Id 125
126,35,5,164,1,Some Random Commen with Id 126
127,35,5,139,9,Some Random Commen with Id 127
128,35,5,85,5,Some Random Commen with Id 128
129,35,5,176,6,Some Random Commen with Id 129
130,35,5,131,5,Some Random Commen with Id 130
131,35,5,166,9,Some Random Commen with Id 131
132,35,5,79,2,Some Random Commen with Id 132
133,36,7,64,6,Some Random Commen with Id 133
134,36,7,185,4,Some Random Commen with Id 134
135,36,7,103,0,Some Random Commen with Id 135
136,36,7,10,8,Some Random Commen with Id 136
137,36,7,147,5,Some Random Commen with Id 137
138,37,4,128,5,Some Random Commen with Id 138
139,37,4,18,0,Some Random Commen with Id 139
140,38,7,3,1,Some Random Commen with Id 140
141,38,7,96,8,Some Random Commen with Id 141
142,38,7,165,9,Some Random Commen with Id 142
143,38,7,36,5,Some Random Commen with Id 143
144,38,7,19,8,Some Random Commen with Id 144
145,38,7,199,5,Some Random Commen with Id 145
146,38,7,20,4,Some Random Commen with Id 146
147,39,9,194,8,Some Random Commen with Id 147
148,39,9,157,9,Some Random Commen with Id 148
149,39,9,154,5,Some Random Commen with Id 149
150,39,9,58,8,Some Random Commen with Id 150
151,39,9,151,8,Some Random Commen with Id 151
152,39,9,30,4,Some Random Commen with Id 152
